nose_x,nose_y,leftEye_x,leftEye_y,rightEye_x,rightEye_y,leftEar_x,leftEar_y,rightEar_x,rightEar_y,neck_x,neck_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,root_x,root_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,label,sample_id,source
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.68,0.44,0.64,0.58,0.64,0.4,0.55,0.62,0.55,0.38,0.47,0.64,0.47,0.46,0.5,0.56,0.5,0.51,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,derecho,0_1,training_pose_recording.csv
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.67,0.43,0.63,0.59,0.63,0.39,0.54,0.63,0.54,0.37,0.46,0.65,0.46,0.46,0.49,0.56,0.49,0.51,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,1_1,training_pose_recording.csv
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.52,0.66,0.42,0.62,0.6,0.62,0.38,0.53,0.64,0.53,0.36,0.45,0.66,0.45,0.47,0.48,0.57,0.48,0.52,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,2_1,training_pose_recording.csv
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.52,0.65,0.41,0.61,0.61,0.61,0.37,0.52,0.65,0.52,0.35,0.44,0.67,0.44,0.47,0.47,0.58,0.47,0.52,0.46,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,3_1,training_pose_recording.csv
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.53,0.64,0.4,0.6,0.62,0.6,0.36,0.51,0.66,0.51,0.34,0.43,0.68,0.43,0.48,0.46,0.58,0.46,0.53,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,4_1,training_pose_recording.csv
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.54,0.63,0.39,0.59,0.63,0.59,0.35,0.5,0.67,0.5,0.33,0.42,0.69,0.42,0.48,0.45,0.59,0.45,0.54,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,5_1,training_pose_recording.csv
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.55,0.62,0.38,0.58,0.64,0.58,0.34,0.49,0.68,0.49,0.32,0.41,0.7,0.41,0.49,0.44,0.59,0.44,0.55,0.43,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,6_1,training_pose_recording.csv
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.56,0.61,0.37,0.57,0.65,0.57,0.33,0.48,0.69,0.48,0.31,0.4,0.71,0.4,0.49,0.43,0.6,0.43,0.56,0.42,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,derecho,7_1,training_pose_recording.csv
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.57,0.6,0.36,0.56,0.66,0.56,0.32,0.47,0.7,0.47,0.3,0.39,0.72,0.39,0.5,0.42,0.6,0.42,0.57,0.41,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,derecho,8_1,training_pose_recording.csv
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.58,0.59,0.35,0.55,0.67,0.55,0.31,0.46,0.71,0.46,0.29,0.38,0.73,0.38,0.5,0.41,0.61,0.41,0.58,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,derecho,9_1,training_pose_recording.csv
