timestamp,frame_id,track_id,joint,x,y,confidence
0.000,0,1,nose,0.52,0.78,0.91
0.000,0,1,left_eye,0.48,0.80,0.88
0.000,0,1,right_eye,0.56,0.80,0.87
0.000,0,1,neck,0.51,0.68,0.95
0.000,0,1,left_shoulder,0.44,0.64,0.94
0.000,0,1,right_shoulder,0.58,0.64,0.93
0.000,0,1,left_elbow,0.40,0.55,0.89
0.000,0,1,right_elbow,0.62,0.55,0.88
0.000,0,1,left_wrist,0.38,0.47,0.82
0.000,0,1,right_wrist,0.64,0.47,0.81
0.000,0,1,left_hip,0.46,0.50,0.92
0.000,0,1,right_hip,0.56,0.50,0.91
0.000,0,1,root,0.51,0.49,0.90
0.000,0,1,left_knee,0.45,0.35,0.85
0.000,0,1,right_knee,0.57,0.35,0.84
0.000,0,1,left_ankle,0.44,0.18,0.80
0.000,0,1,right_ankle,0.58,0.18,0.79
0.033,1,1,nose,0.52,0.77,0.90
0.033,1,1,neck,0.51,0.67,0.94
0.033,1,1,left_shoulder,0.43,0.63,0.93
0.033,1,1,right_shoulder,0.59,0.63,0.92
0.033,1,1,left_elbow,0.39,0.54,0.88
0.033,1,1,right_elbow,0.63,0.54,0.87
0.033,1,1,left_wrist,0.37,0.46,0.81
0.033,1,1,right_wrist,0.65,0.46,0.80
0.033,1,1,left_hip,0.46,0.49,0.91
0.033,1,1,right_hip,0.56,0.49,0.90
0.033,1,1,root,0.51,0.48,0.89
0.033,1,1,left_knee,0.45,0.34,0.84
0.033,1,1,right_knee,0.57,0.34,0.83
0.066,2,1,nose,0.53,0.76,0.89
0.066,2,1,neck,0.52,0.66,0.93
0.066,2,1,left_shoulder,0.42,0.62,0.92
0.066,2,1,right_shoulder,0.60,0.62,0.91
0.066,2,1,left_elbow,0.38,0.53,0.87
0.066,2,1,right_elbow,0.64,0.53,0.86
0.066,2,1,left_wrist,0.36,0.45,0.80
0.066,2,1,right_wrist,0.66,0.45,0.79
0.066,2,1,left_hip,0.47,0.48,0.90
0.066,2,1,right_hip,0.57,0.48,0.89
0.066,2,1,root,0.52,0.47,0.88
0.000,0,2,nose,0.22,0.75,0.75
0.000,0,2,neck,0.24,0.65,0.78
0.000,0,2,left_shoulder,0.18,0.61,0.76
0.000,0,2,right_shoulder,0.30,0.61,0.75
0.000,0,2,left_elbow,0.15,0.52,0.70
0.000,0,2,right_elbow,0.33,0.52,0.69
0.000,0,2,left_hip,0.20,0.48,0.74
0.000,0,2,right_hip,0.28,0.48,0.73
0.033,1,2,neck,0.24,0.64,0.77
0.033,1,2,left_shoulder,0.17,0.60,0.75
0.033,1,2,right_shoulder,0.31,0.60,0.74
0.033,1,2,left_elbow,0.14,0.51,0.69
0.033,1,2,right_elbow,0.34,0.51,0.68
0.033,1,2,left_hip,0.20,0.47,0.73
0.033,1,2,right_hip,0.29,0.47,0.72
