timestamp,frame_id,track_id,joint,x,y,confidence
0.000,0,1,neck,0.51,0.68,0.95
0.000,0,1,left_shoulder,0.44,0.64,0.94
0.000,0,1,right_shoulder,0.58,0.64,0.93
0.000,0,1,left_elbow,0.40,0.55,0.89
0.000,0,1,right_elbow,0.62,0.55,0.88
0.000,0,1,left_wrist,0.38,0.47,0.82
0.000,0,1,right_wrist,0.64,0.47,0.81
0.000,0,1,left_hip,0.46,0.50,0.92
0.000,0,1,right_hip,0.56,0.50,0.91
0.000,0,1,root,0.51,0.49,0.90
0.033,1,1,neck,0.51,0.67,0.94
0.033,1,1,left_shoulder,0.43,0.63,0.93
0.033,1,1,right_shoulder,0.59,0.63,0.92
0.033,1,1,left_elbow,0.39,0.54,0.88
0.033,1,1,right_elbow,0.63,0.54,0.87
0.033,1,1,left_wrist,0.37,0.46,0.81
0.033,1,1,right_wrist,0.65,0.46,0.80
0.033,1,1,left_hip,0.46,0.49,0.91
0.033,1,1,right_hip,0.56,0.49,0.90
0.033,1,1,root,0.51,0.48,0.89
0.066,2,1,neck,0.52,0.66,0.93
0.066,2,1,left_shoulder,0.42,0.62,0.92
0.066,2,1,right_shoulder,0.60,0.62,0.91
0.066,2,1,left_elbow,0.38,0.53,0.87
0.066,2,1,right_elbow,0.64,0.53,0.86
0.066,2,1,left_wrist,0.36,0.45,0.80
0.066,2,1,right_wrist,0.66,0.45,0.79
0.066,2,1,left_hip,0.47,0.48,0.90
0.066,2,1,right_hip,0.57,0.48,0.89
0.066,2,1,root,0.52,0.47,0.88
0.100,3,1,neck,0.52,0.65,0.92
0.100,3,1,left_shoulder,0.41,0.61,0.91
0.100,3,1,right_shoulder,0.61,0.61,0.90
0.100,3,1,left_elbow,0.37,0.52,0.86
0.100,3,1,right_elbow,0.65,0.52,0.85
0.100,3,1,left_wrist,0.35,0.44,0.79
0.100,3,1,right_wrist,0.67,0.44,0.78
0.100,3,1,left_hip,0.47,0.47,0.89
0.100,3,1,right_hip,0.58,0.47,0.88
0.100,3,1,root,0.52,0.46,0.87
0.133,4,1,neck,0.53,0.64,0.91
0.133,4,1,left_shoulder,0.40,0.60,0.90
0.133,4,1,right_shoulder,0.62,0.60,0.89
0.133,4,1,left_elbow,0.36,0.51,0.85
0.133,4,1,right_elbow,0.66,0.51,0.84
0.133,4,1,left_wrist,0.34,0.43,0.78
0.133,4,1,right_wrist,0.68,0.43,0.77
0.133,4,1,left_hip,0.48,0.46,0.88
0.133,4,1,right_hip,0.58,0.46,0.87
0.133,4,1,root,0.53,0.45,0.86
0.166,5,1,neck,0.54,0.63,0.90
0.166,5,1,left_shoulder,0.39,0.59,0.89
0.166,5,1,right_shoulder,0.63,0.59,0.88
0.166,5,1,left_elbow,0.35,0.50,0.84
0.166,5,1,right_elbow,0.67,0.50,0.83
0.166,5,1,left_wrist,0.33,0.42,0.77
0.166,5,1,right_wrist,0.69,0.42,0.76
0.166,5,1,left_hip,0.48,0.45,0.87
0.166,5,1,right_hip,0.59,0.45,0.86
0.166,5,1,root,0.54,0.44,0.85
0.200,6,1,neck,0.55,0.62,0.89
0.200,6,1,left_shoulder,0.38,0.58,0.88
0.200,6,1,right_shoulder,0.64,0.58,0.87
0.200,6,1,left_elbow,0.34,0.49,0.83
0.200,6,1,right_elbow,0.68,0.49,0.82
0.200,6,1,left_wrist,0.32,0.41,0.76
0.200,6,1,right_wrist,0.70,0.41,0.75
0.200,6,1,left_hip,0.49,0.44,0.86
0.200,6,1,right_hip,0.59,0.44,0.85
0.200,6,1,root,0.55,0.43,0.84
0.233,7,1,neck,0.56,0.61,0.88
0.233,7,1,left_shoulder,0.37,0.57,0.87
0.233,7,1,right_shoulder,0.65,0.57,0.86
0.233,7,1,left_elbow,0.33,0.48,0.82
0.233,7,1,right_elbow,0.69,0.48,0.81
0.233,7,1,left_wrist,0.31,0.40,0.75
0.233,7,1,right_wrist,0.71,0.40,0.74
0.233,7,1,left_hip,0.49,0.43,0.85
0.233,7,1,right_hip,0.60,0.43,0.84
0.233,7,1,root,0.56,0.42,0.83
0.266,8,1,neck,0.57,0.60,0.87
0.266,8,1,left_shoulder,0.36,0.56,0.86
0.266,8,1,right_shoulder,0.66,0.56,0.85
0.266,8,1,left_elbow,0.32,0.47,0.81
0.266,8,1,right_elbow,0.70,0.47,0.80
0.266,8,1,left_wrist,0.30,0.39,0.74
0.266,8,1,right_wrist,0.72,0.39,0.73
0.266,8,1,left_hip,0.50,0.42,0.84
0.266,8,1,right_hip,0.60,0.42,0.83
0.266,8,1,root,0.57,0.41,0.82
0.300,9,1,neck,0.58,0.59,0.86
0.300,9,1,left_shoulder,0.35,0.55,0.85
0.300,9,1,right_shoulder,0.67,0.55,0.84
0.300,9,1,left_elbow,0.31,0.46,0.80
0.300,9,1,right_elbow,0.71,0.46,0.79
0.300,9,1,left_wrist,0.29,0.38,0.73
0.300,9,1,right_wrist,0.73,0.38,0.72
0.300,9,1,left_hip,0.50,0.41,0.83
0.300,9,1,right_hip,0.61,0.41,0.82
0.300,9,1,root,0.58,0.40,0.81
